dataset,best_lag,abs_lag_min,corr_at_0,corr_best
PEMS04,1,5,0.6377512812614441,0.6593278050422668
PEMS04,-1,5,0.5868317484855652,0.6082770824432373
PEMS04,1,5,0.5162818431854248,0.526902973651886
PEMS04,7,35,0.7126181721687317,0.721314549446106
PEMS04,2,10,0.6282333731651306,0.6302006840705872
PEMS04,3,15,0.6143732070922852,0.6297615170478821
PEMS04,1,5,0.6155573129653931,0.6258512139320374
PEMS04,-2,10,0.8465520739555359,0.8778064250946045
PEMS04,-1,5,0.7022365927696228,0.7356705069541931
PEMS04,-1,5,0.6427081227302551,0.6583138704299927
PEMS04,-7,35,0.5887036323547363,0.6037095785140991
PEMS04,2,10,0.7465983629226685,0.7580202221870422
PEMS04,1,5,0.6301471590995789,0.6477583050727844
PEMS04,0,0,0.8741821646690369,0.8741821646690369
PEMS04,1,5,0.6512896418571472,0.6990474462509155
PEMS04,0,0,0.6310892701148987,0.6310892701148987
PEMS04,-7,35,0.5029105544090271,0.5192955136299133
PEMS04,-10,50,0.08299452811479568,0.09007693082094193
PEMS04,-1,5,0.8612322211265564,0.8709455728530884
PEMS04,-1,5,0.9184191226959229,0.9398240447044373
PEMS04,1,5,0.8122407793998718,0.8477171063423157
PEMS04,1,5,0.6613767147064209,0.6637399196624756
PEMS04,1,5,0.7549406290054321,0.7560778856277466
PEMS04,-1,5,0.6833648085594177,0.70688796043396
PEMS04,-1,5,0.7865766286849976,0.8168631196022034
PEMS04,1,5,0.6585820317268372,0.6594654321670532
PEMS04,-7,35,0.8351102471351624,0.8685855269432068
PEMS04,-7,35,0.8286790251731873,0.8525406122207642
PEMS04,1,5,0.537445604801178,0.5420692563056946
PEMS04,-1,5,0.7510130405426025,0.7900015115737915
PEMS04,1,5,0.7551112174987793,0.7696359157562256
PEMS04,-1,5,0.7811097502708435,0.8031396865844727
PEMS04,1,5,0.6712291836738586,0.6761157512664795
PEMS04,1,5,0.5639746785163879,0.5836248993873596
PEMS04,-1,5,0.7193319797515869,0.7221839427947998
PEMS04,-1,5,0.9069722890853882,0.9163384437561035
PEMS04,1,5,0.857505738735199,0.8739867210388184
PEMS04,-1,5,0.5939573049545288,0.6087202429771423
PEMS04,1,5,0.8466405868530273,0.866990864276886
PEMS04,-1,5,0.6834544539451599,0.6941297650337219
PEMS04,1,5,0.6188271045684814,0.6338345408439636
PEMS04,-12,60,0.38059717416763306,0.4404616951942444
PEMS04,-1,5,0.8303297758102417,0.8625004291534424
PEMS04,1,5,0.8389889597892761,0.8536475896835327
PEMS04,0,0,0.6077186465263367,0.6077186465263367
PEMS04,-1,5,0.8945658802986145,0.9053822159767151
PEMS04,1,5,0.8098649978637695,0.8206053972244263
PEMS04,-1,5,0.399653822183609,0.43442222476005554
PEMS04,1,5,0.17932742834091187,0.20621642470359802
PEMS04,-1,5,0.5473813414573669,0.5800119042396545
PEMS04,-2,10,0.6236621737480164,0.6258643865585327
PEMS04,9,45,0.4885014593601227,0.5167520046234131
PEMS04,-1,5,0.7958429455757141,0.8210633993148804
PEMS04,1,5,0.5990932583808899,0.6192759871482849
PEMS04,0,0,0.7938361763954163,0.7938361763954163
PEMS04,0,0,0.7706345319747925,0.7706345319747925
PEMS04,0,0,0.8041738867759705,0.8041738867759705
PEMS04,1,5,0.8907313942909241,0.9077032804489136
PEMS04,-1,5,0.29192644357681274,0.2922002673149109
PEMS04,-1,5,0.39504173398017883,0.4243890941143036
PEMS04,-9,45,0.2588401138782501,0.26090797781944275
PEMS04,0,0,0.3503378927707672,0.3503378927707672
PEMS04,-1,5,0.7044862508773804,0.7258343696594238
PEMS04,1,5,0.6619816422462463,0.6679978370666504
PEMS04,1,5,0.6830620765686035,0.6918383240699768
PEMS04,-1,5,0.7284267544746399,0.7389122247695923
PEMS04,-1,5,0.7320662140846252,0.7341594099998474
PEMS04,0,0,0.767791211605072,0.767791211605072
PEMS04,0,0,0.6896805763244629,0.6896805763244629
PEMS04,-1,5,0.8653196096420288,0.8851197957992554
PEMS04,-1,5,0.7364341020584106,0.7696166634559631
PEMS04,2,10,0.4328053891658783,0.4505886137485504
PEMS04,4,20,0.24234193563461304,0.25179174542427063
PEMS04,4,20,0.24211928248405457,0.25134405493736267
PEMS04,1,5,0.8842266798019409,0.8908869028091431
PEMS04,-1,5,0.8468008637428284,0.8600150346755981
PEMS04,-2,10,0.8847313523292542,0.8877166509628296
PEMS04,7,35,0.43332749605178833,0.44871005415916443
